quarter,year,period,talent_solutions,marketing_solutions,premium_subscriptions,total_revenue
Q1,2022,2022-Q1,2700,1050,850,4600
Q2,2022,2022-Q2,2900,1100,880,4880
Q3,2022,2022-Q3,3100,1050,900,5050
Q4,2022,2022-Q4,3300,1150,950,5400
Q1,2023,2023-Q1,3200,1000,970,5170
Q2,2023,2023-Q2,3500,1100,1010,5610
Q3,2023,2023-Q3,3800,1150,1050,6000
Q4,2023,2023-Q4,4000,1250,1100,6350
Q1,2024,2024-Q1,3900,1200,1130,6230
Q2,2024,2024-Q2,4200,1300,1180,6680
Q3,2024,2024-Q3,4500,1350,1220,7070
Q4,2024,2024-Q4,4700,1400,1270,7370